tech	file	line	levels	in_give_effects	prerequisites	missing_prerequisites	ai_only_prereq	flag_deps	potential_has_country_flag	is_ai_only	potential_always_no	potential_ag_mod	excluded_reason	unreachable_prereq	has_debug_flag
tech_touhou_sky_control_ship	th_tech_1.txt	880		yes					tech_touhou_sky_control_ship touhou_debug_all_tech_flag	no	no	no			yes
tech_th_ship_part_yueshiji	th_tech_1.txt	906		yes	tech_th_armor_scarlet2					no	no	no			no
tech_th_ship_part_yueshiji_story	th_tech_1.txt	939		no						no	yes	no	potential_always_no		no
tech_th_weapon_loukanken	th_tech_1.txt	997		yes	tech_flak_batteries_2	tech_flak_batteries_2				no	no	no			no
tech_touhou_bomb_crater_clear	th_tech_1.txt	1098		yes	tech_ecological_adaptation	tech_ecological_adaptation				no	no	no			no
tech_worker_0	th_tech_1.txt	1172		yes						no	no	no			no
tech_specialist_0	th_tech_1.txt	1206		yes						no	no	no			no
tech_th_flagship_1	th_tech_1.txt	1243		yes						no	no	no			no
tech_th_gene_tailoring	th_tech_1.txt	1268		yes	tech_gene_tailoring	tech_gene_tailoring				no	no	no			no
tech_th_gene_tailoring2	th_tech_1.txt	1321		yes	tech_th_gene_tailoring					no	no	no			no
tech_th_gene_negative	th_tech_1.txt	1374		yes	tech_th_gene_tailoring					no	no	no			no
tech_barrier_convert	th_tech_1.txt	1427		yes	tech_galactic_administration	tech_galactic_administration				no	no	no			no
tech_touhou_warp_engine_astral_1	th_tech_1.txt	1471		yes					tech_touhou_warp_engine_astral_1 touhou_debug_all_tech_flag	no	no	no			yes
tech_th_lingli_storage	th_tech_1.txt	1518		yes						no	no	no			no
tech_building_kamikakushi_silo	spth_building_tech.txt	82		yes	tech_th_lingli_storage					no	no	no			no
tech_building_kamikakushi_silo_update	spth_building_tech.txt	106		yes	tech_building_kamikakushi_silo					no	no	no			no
tech_holding_fumo_obelisk	spth_building_tech.txt	138		yes	tech_th_lingli_storage				fumo_deploy	no	no	no			no
tech_th_advanced_trait	th_tech_1.txt	1544		yes						no	no	no			no
tech_hm_pop_growth_1	th_tech_1.txt	1575		no	tech_hm_building_3		tech_hm_building_3			no	no	no	unreachable_prereq	tech_hm_building_3	no
tech_hm_pop_growth_2	th_tech_1.txt	1616		no	tech_hm_pop_growth_1					no	no	no	unreachable_prereq	tech_hm_pop_growth_1	no
tech_th_advanced_leader_trait	th_tech_1.txt	1657		yes	tech_th_advanced_trait					no	no	no			no
tech_repeatable_improved_gungnir	th_tech_1.txt	1769	-1	no						no	no	no	levels_lt_0		no
tech_repeatable_improved_knife	th_tech_1.txt	1816	-1	no						no	no	no	levels_lt_0		no
tech_repeatable_improved_xianzhe	th_tech_1.txt	1863	-1	no						no	no	no	levels_lt_0		no
tech_repeatable_improved_spark	th_tech_1.txt	1910	-1	no						no	no	no	levels_lt_0		no
tech_repeatable_improved_needle	th_tech_1.txt	1957	-1	no						no	no	no	levels_lt_0		no
tech_repeatable_improved_reimu	th_tech_1.txt	2004	-1	no						no	no	no	levels_lt_0		no
tech_repeatable_improved_sanae	th_tech_1.txt	2051	-1	no						no	no	no	levels_lt_0		no
tech_repeatable_improved_laevatain	th_tech_1.txt	2098	-1	no						no	no	no	levels_lt_0		no
tech_repeatable_improved_kappa	th_tech_1.txt	2145	-1	no						no	no	no	levels_lt_0		no
tech_repeatable_improved_lingli	th_tech_1.txt	2193	-1	no					unlock_spth_lingli_weapon_repeatable NOT:disable_all_repeatable_lingli NOT:enable_enhanced_repeatable_lingli	no	no	no	levels_lt_0		no
tech_repeatable_improved_lingli_enhanced	th_tech_1.txt	2264	-1	no					unlock_spth_lingli_weapon_repeatable enable_enhanced_repeatable_lingli NOT:disable_all_repeatable_lingli	no	no	no	levels_lt_0		no
tech_th_shield_barrier_story	th_tech_1.txt	2333		yes					touhou_debug_all_tech_flag spth_past_legacy_barrier_shield	no	no	no			yes
tech_th_armor_spiritual_power_story	th_tech_1.txt	2362		yes					touhou_debug_all_tech_flag spth_past_legacy_barrier_shield	no	no	no			yes
tech_spth_spiritual_power_habitat	th_tech_1.txt	2391		yes					can_give_spiritual_power_habitat	no	no	no			no
tech_touhou_tenshi_keystone	th_tech_1.txt	2447		yes					touhou_debug_all_tech_flag th_tenshi_get	no	no	no			yes
tech_touhou_entropy_archor	th_tech_1.txt	2476		yes					touhou_debug_all_tech_flag tech_touhou_entropy_archor	no	no	no			yes
tech_th_kappa_torpedo	th_tech_1.txt	2559		yes	tech_swarmer_missiles_1	tech_swarmer_missiles_1				no	no	no			no
tech_build_spth_capital_shirne	th_tech_1.txt	2587		yes					unlock_tech_build_spth_capital_shirne	no	no	no			no
tech_ring_spiritual_power_hub	th_tech_1.txt	2606		yes	tech_spth_old_shrine_construct					no	no	no			no
tech_ring_spellcard_hub	th_tech_1.txt	2627		yes	tech_ring_spiritual_power_hub					no	no	no			no
tech_th_shield_barrier_psionic_story	th_tech_1.txt	2673		yes	tech_th_shield_barrier_story					no	no	no			no
tech_th_armor_barrier_psionic_story	th_tech_1.txt	2697		yes	tech_th_armor_spiritual_power_story					no	no	no			no
tech_th_armor_scarlet_psionic	th_tech_1.txt	2721		yes	tech_th_armor_scarlet2					no	no	no			no
tech_touhou_psionic_lighting	th_tech_1.txt	2745		yes	tech_arc_emitter_2	tech_arc_emitter_2				no	no	no			no
tech_touhou_psionic_ag_lighting	th_tech_1.txt	2767		yes	tech_touhou_psionic_lighting					no	no	yes			no
tech_touhou_psionic_lighting_pd	th_tech_1.txt	2790		yes	tech_arc_emitter_2	tech_arc_emitter_2			tech_touhou_psionic_lighting_pd	no	no	no			no
tech_touhou_psionic_ag_lighting_pd	th_tech_1.txt	2813		yes	tech_touhou_psionic_lighting_pd			tech_touhou_psionic_lighting_pd	tech_touhou_psionic_lighting_pd	no	no	yes			no
tech_touhou_psionic_lighting_xl	th_tech_1.txt	2837		yes	tech_arc_emitter_2	tech_arc_emitter_2			tech_touhou_psionic_lighting_xl	no	no	no			no
tech_touhou_psionic_ag_lighting_xl	th_tech_1.txt	2860		yes	tech_touhou_psionic_lighting_xl			tech_touhou_psionic_lighting_xl	tech_touhou_psionic_lighting_xl	no	no	yes			no
tech_touhou_psionic_lighting_t	th_tech_1.txt	2884		yes	tech_arc_emitter_2	tech_arc_emitter_2			tech_touhou_psionic_lighting_t	no	no	no			no
tech_touhou_psionic_ag_lighting_t	th_tech_1.txt	2907		yes	tech_touhou_psionic_lighting_t			tech_touhou_psionic_lighting_t	tech_touhou_psionic_lighting_t	no	no	yes			no
tech_trait_touhou_psionic	th_tech_1.txt	2952		yes					tech_trait_touhou_psionic	no	no	no			no
tech_touhou_psionic_singularity	th_tech_1.txt	2981		yes	tech_arc_emitter_2	tech_arc_emitter_2				no	no	no			no
tech_touhou_psionic_singularity_alt	th_tech_1.txt	3003		yes	tech_touhou_psionic_singularity					no	no	yes			no
tech_touhou_psionic_singularity_xl	th_tech_1.txt	3026		yes	tech_arc_emitter_2	tech_arc_emitter_2			touhou_debug_all_tech_flag tech_touhou_psionic_singularity_xl	no	no	no			yes
tech_touhou_psionic_singularity_alt_xl	th_tech_1.txt	3053		yes	tech_touhou_psionic_singularity_xl			tech_touhou_psionic_singularity_xl	touhou_debug_all_tech_flag tech_touhou_psionic_singularity_xl	no	no	yes			yes
tech_touhou_psionic_singularity_t	th_tech_1.txt	3081		yes	tech_arc_emitter_2	tech_arc_emitter_2			touhou_debug_all_tech_flag tech_touhou_psionic_singularity_t	no	no	no			yes
tech_touhou_psionic_singularity_alt_t	th_tech_1.txt	3108		yes	tech_touhou_psionic_singularity_t			tech_touhou_psionic_singularity_t	touhou_debug_all_tech_flag tech_touhou_psionic_singularity_t	no	no	yes			yes
tech_touhou_psionic_inhibitor_weapon	th_tech_1.txt	3136		yes					touhou_debug_all_tech_flag tech_touhou_psionic_inhibitor_weapon	no	no	no			yes
tech_touhou_anti_psionic_weapon	th_tech_1.txt	3165		yes					touhou_debug_all_tech_flag tech_touhou_anti_psionic_weapon	no	no	no			yes
tech_touhou_psionic_launcher	th_tech_1.txt	3194		yes					touhou_debug_all_tech_flag tech_touhou_psionic_launcher	no	no	no			yes
tech_touhou_zro_psionic_lighting	th_tech_1.txt	3223		yes					touhou_debug_all_tech_flag tech_touhou_zro_psionic_lighting	no	no	no			yes
tech_trait_th_alice_doll	th_tech_1.txt	3253		yes					tech_trait_th_alice_doll	no	no	no			no
tech_th_tenshi_aux	th_tech_1.txt	3280		yes						no	no	no			no
tech_gensokyo_ringworld_arkship	th_tech_1.txt	3334		yes	tech_ring_world	tech_ring_world				no	no	no			no
tech_reverse_engine_izakaya_arkship	th_tech_1.txt	3360		yes	tech_ring_world	tech_ring_world				no	no	no			no
tech_touhou_signal_jammer_tower_repair	th_tech_1.txt	3382		yes					tech_touhou_signal_jammer_tower_repair	no	no	no			no
tech_lunar_capital_frigate	th_tech_1.txt	3404		yes					tech_lunar_capital_frigate touhou_debug_all_tech_flag	no	no	no			yes
tech_lunar_capital_parts	th_tech_1.txt	3432		yes					tech_lunar_capital_parts touhou_debug_all_tech_flag	no	no	no			yes
tech_lunar_capital_ships	th_tech_1.txt	3451		yes					tech_lunar_capital_ships touhou_debug_all_tech_flag	no	no	no			yes
tech_lunar_capital_never	th_tech_1.txt	3476		yes					touhou_debug_all_tech_flag	no	no	no			yes
tech_touhou_ship_optimize_cost	th_tech_1.txt	3502		yes						no	no	no			no
tech_crisis_kamikakushi	th_tech_1.txt	3526		yes					touhou_debug_all_tech_flag	no	no	no			yes
tech_crisis_dreamworld	th_tech_1.txt	3551		yes					touhou_debug_all_tech_flag	no	no	no			yes
tech_colony_jiejie	th_tech_2.txt	1		yes						no	no	no			no
tech_touhou_ag_shell_world_expand	spth_ag_tech.txt	40		yes	tech_ag_shell_world_construction tech_colony_jiejie	tech_ag_shell_world_construction				no	no	yes			no
tech_amenotoribunenokami	th_tech_2.txt	43		yes	tech_colony_jiejie					no	no	no			no
tech_th_shield_jiejie1	th_tech_1.txt	253		yes	tech_shields_3 tech_amenotoribunenokami	tech_shields_3				no	no	no			no
tech_th_shield_jiejie2	th_tech_1.txt	285		yes	tech_shields_4 tech_th_shield_jiejie1	tech_shields_4				no	no	no			no
tech_th_shield_barrier_psionic	th_tech_1.txt	2649		yes	tech_th_shield_jiejie2					no	no	no			no
tech_xijian_1	th_tech_2.txt	85		yes	tech_jump_drive_1	tech_jump_drive_1				no	no	no			no
tech_touhou_ag_shell_world_expand_2	spth_ag_tech.txt	54		yes	tech_ag_shell_world_construction tech_xijian_1	tech_ag_shell_world_construction				no	no	yes			no
tech_th_engine_xijian	th_tech_1.txt	381		yes	tech_xijian_1					no	no	no			no
tech_kamikakushi	th_tech_1.txt	1023		yes	tech_th_engine_xijian					no	no	no			no
tech_bombardment_touhou_ground_land	th_tech_1.txt	1049		yes	tech_kamikakushi					no	no	no			no
tech_bombardment_touhou_destroy_planet	th_tech_1.txt	1074		yes	tech_kamikakushi					no	no	no			no
tech_xijian_station_section	th_tech_1.txt	1150		yes	tech_th_engine_xijian					no	no	no			no
tech_touhou_warp_engine_astral_2	th_tech_1.txt	1496		yes	tech_touhou_warp_engine_astral_1 tech_th_engine_xijian					no	no	no			no
tech_xijian_n	th_tech_2.txt	126	25	yes	tech_th_engine_xijian					no	no	no			no
tech_th_bullet_emission_1	th_tech_2.txt	158		yes						no	no	no			no
tech_th_bullet_1_a	th_tech_2.txt	196		yes	tech_th_bullet_emission_1					no	no	no			no
tech_th_weapon_muso	th_tech_1.txt	552		yes	tech_th_bullet_1_a					no	no	no			no
tech_th_weapon_muso_2	th_tech_1.txt	585		yes	tech_th_weapon_muso					no	no	no			no
tech_th_weapon_needle	th_tech_1.txt	620		yes	tech_th_weapon_muso_2					no	no	no			no
tech_th_weapon_xianzhe	th_tech_1.txt	651		yes	tech_plasma_3 tech_th_bullet_1_a	tech_plasma_3				no	no	no			no
tech_th_weapon_knife	th_tech_1.txt	683		yes	tech_mass_drivers_3 tech_th_bullet_1_a	tech_mass_drivers_3				no	no	no			no
tech_th_bullet_1_b	th_tech_2.txt	220		yes	tech_th_bullet_emission_1					no	no	no			no
tech_th_weapon_xieshi	th_tech_1.txt	716		yes	tech_mass_drivers_3 tech_th_bullet_1_b	tech_mass_drivers_3				no	no	no			no
tech_th_weapon_sanae	th_tech_1.txt	750		yes	tech_mass_drivers_3 tech_th_bullet_1_b	tech_mass_drivers_3				no	no	no			no
tech_th_weapon_yuzhu	th_tech_1.txt	806		yes	tech_mass_drivers_5 tech_th_bullet_1_b	tech_mass_drivers_5				no	no	no			no
tech_short_spell_relay	th_tech_2.txt	244		yes						no	no	no			no
tech_th_weapon_spark	th_tech_1.txt	480		yes	tech_short_spell_relay tech_energy_lance_1	tech_energy_lance_1				no	no	no			no
tech_th_ship_part_satori	th_tech_1.txt	964		yes	tech_titans tech_th_weapon_spark	tech_titans				no	no	no			no
tech_th_ship_part_yuyuko	th_tech_1.txt	2415		yes	tech_th_ship_part_yueshiji tech_th_ship_part_satori					no	no	no			no
tech_touhou_nimble_fabric	th_tech_1.txt	2497		yes	tech_th_ship_part_yueshiji tech_th_ship_part_satori					no	no	no			no
tech_ship_part_aura_touhou_minefield	th_tech_1.txt	2528		yes	tech_th_ship_part_yueshiji tech_th_ship_part_satori					no	no	no			no
tech_th_ship_part_mokou	th_tech_1.txt	2931		yes	tech_th_ship_part_yuyuko					no	no	no			no
tech_medium_spell_relay	th_tech_2.txt	281		yes	tech_short_spell_relay					no	no	no			no
tech_long_spell_relay	th_tech_2.txt	321		yes	tech_medium_spell_relay					no	no	no			no
tech_th_weapon_spark_2	th_tech_1.txt	516		yes	tech_th_weapon_spark tech_long_spell_relay					no	no	no			no
tech_touhou_miko_admin_mode	th_tech_2.txt	367		yes	tech_long_spell_relay					no	no	no			no
tech_grimic_network	th_tech_2.txt	413		yes	tech_short_spell_relay					no	no	no			no
tech_touhou_psionic_conduit_titan_action	spth_ag_tech.txt	69		yes	tech_ag_alpha_titan tech_grimic_network	tech_ag_alpha_titan				no	no	yes			no
tech_touhou_psionic_conduit_zone	spth_ag_tech.txt	86		yes	tech_ag_alpha_psionic_conduit_node tech_grimic_network	tech_ag_alpha_psionic_conduit_node				no	no	yes			no
tech_touhou_youkai_mountain_science_module	th_tech_1.txt	3301		yes	tech_grimic_network					no	no	no			no
tech_spell_navigation	th_tech_2.txt	434		yes	tech_medium_spell_relay					no	no	no			no
tech_th_village_revolution	th_tech_2.txt	473		yes						no	no	no			no
tech_terakoya_reset	th_tech_2.txt	512		yes	tech_th_village_revolution					no	no	no			no
tech_yosei_revolution	th_tech_2.txt	553		yes						no	no	no			no
tech_yosei_math_diffuse	th_tech_2.txt	591		yes	tech_yosei_revolution					no	no	no			no
tech_th_deposits_uncover	th_tech_2.txt	631		yes						no	no	no			no
tech_th_shrine_mega	th_tech_2.txt	665		yes	tech_amenotoribunenokami tech_mega_engineering	tech_mega_engineering				no	no	no			no
tech_touhou_sensor	th_tech_2.txt	710		yes	tech_sensors_4	tech_sensors_4				no	no	no			no
tech_touhou_mandible	th_tech_2.txt	726		yes	tech_mandibles_3	tech_mandibles_3				no	no	no			no
tech_spth_story_science_ship	th_tech_2.txt	742		yes						no	no	no			no
tech_th_battle_cruiser	th_tech_2.txt	762		yes	tech_th_weapon_gungnir tech_spth_moon_computer					no	no	no			no
tech_th_ship_build_upgrade	th_tech_2.txt	811	5	yes	tech_th_battle_cruiser					no	no	no			no
tech_spth_weapon_laevatain	th_tech_2.txt	829		yes						no	no	no			no
tech_touhou_cruise_missile	th_tech_2.txt	847		yes	tech_spth_weapon_laevatain tech_th_ship_part_taiyang					no	no	no			no
tech_touhou_swarm_rocket	th_tech_2.txt	868		yes	tech_spth_weapon_laevatain tech_th_ship_part_taiyang					no	no	no			no
tech_spth_hv_bombardment	th_tech_2.txt	889		yes						no	no	no			no
tech_touhou_command_dreadnought	th_tech_2.txt	915		yes	tech_th_battle_cruiser					no	no	no			no
tech_touhou_support_heavy_cruiser	th_tech_2.txt	935		yes	tech_th_battle_cruiser					no	no	no			no
tech_touhou_support_heavy_cruiser_lunar	th_tech_2.txt	949		yes	tech_lunar_capital_ships tech_touhou_support_heavy_cruiser					no	no	no			no
tech_touhou_astronomical_telescope	th_tech_2.txt	963		yes	tech_touhou_support_heavy_cruiser					no	no	no			no
tech_kamikakushi_supressor	th_tech_2.txt	976		yes	tech_touhou_support_heavy_cruiser					no	no	no			no
tech_yuyuko_barrier	th_tech_2.txt	993		yes	tech_touhou_support_heavy_cruiser					no	no	yes			no
tech_spth_super_carrier_theory	th_tech_2.txt	1011		yes						no	no	no			no
tech_spth_super_carrier_ship_parts	th_tech_2.txt	1031		yes	tech_spth_super_carrier_theory					no	no	no			no
tech_spth_super_carrier_system	th_tech_2.txt	1046		yes	tech_spth_super_carrier_ship_parts					no	no	no			no
tech_spth_super_carrier	th_tech_2.txt	1062		yes	tech_spth_super_carrier_system					no	no	no			no
tech_spth_kamikakushi_cruiser	th_tech_2.txt	1080		yes						no	no	no			no
tech_touhou_makai_ftl_engine	th_tech_2.txt	792		yes	tech_spth_kamikakushi_cruiser					no	no	no			no
tech_touhou_event_drone	th_tech_2.txt	1097		yes					tech_touhou_event_drone touhou_debug_all_tech_flag	no	no	no			yes
tech_touhou_super_flagship	th_tech_2.txt	1119		yes					tech_touhou_super_flagship touhou_debug_all_tech_flag	no	no	no			yes
tech_touhou_super_flagship_science	th_tech_2.txt	1142		yes	tech_touhou_super_flagship					no	no	no			no
tech_th_shrine_mega_2_control	th_tech_2.txt	1166		yes	tech_th_shrine_mega					no	no	no			no
tech_spth_space_shrine_station	th_tech_2.txt	1210		yes	tech_spth_super_carrier tech_spth_hv_bombardment tech_th_shrine_mega					no	no	no			no
tech_touhou_superstarbase_move	th_tech_2.txt	1239		yes	tech_spth_space_shrine_station					no	no	no			no
tech_spth_precursor_makai_locate	th_tech_2.txt	1257		yes					can_unlock_spth_precursor_makai_locate	no	no	no			no
tech_touhou_psionic_inhibitor	th_tech_2.txt	1280		yes					tech_touhou_psionic_inhibitor	no	no	no			no
tech_touhou_psionic_burster	th_tech_2.txt	1294		yes					tech_touhou_psionic_burster	no	no	no			no
tech_touhou_gateway_network_master_node_unlock_shield	th_tech_2.txt	1308		yes					tech_touhou_gateway_network_master_node_unlock_shield	no	no	no			no
tech_touhou_gateway_network_master_node_repair	th_tech_2.txt	1325		yes	tech_touhou_gateway_network_master_node_unlock_shield					no	no	no			no
tech_touhou_gateway_network_master_unlock	th_tech_2.txt	1339		yes					tech_touhou_gateway_network_master_unlock	no	no	no			no
tech_touhou_gateway_network_slave_ship	th_tech_2.txt	1355		yes	tech_touhou_gateway_network_master_unlock					no	no	no			no
tech_touhou_gunpower_turret	th_tech_2.txt	1369		yes					touhou_debug_all_tech_flag tech_touhou_gunpower_turret	no	no	no			yes
tech_touhou_gunpower_turret_gravity_cannon	th_tech_2.txt	1385		yes	tech_touhou_gunpower_turret				touhou_debug_all_tech_flag tech_touhou_gunpower_turret_gravity_cannon	no	no	no			yes
tech_touhou_system_warper	th_tech_2.txt	1402		yes	tech_mega_engineering tech_xijian_1 tech_spth_super_carrier_system tech_spth_hv_bombardment	tech_mega_engineering				no	no	no			no
tech_touhou_system_warper_improved	th_tech_2.txt	1429		yes	tech_touhou_system_warper					no	no	no			no
tech_touhou_system_warper_attack_improve	th_tech_1.txt	1449		yes	tech_touhou_system_warper_improved					no	no	no			no
tech_spth_spirit_power_beginning	th_tech_2.txt	1477		yes						no	no	no			no
tech_spth_sub_capitals	spth_building_tech.txt	1		yes	tech_spth_spirit_power_beginning					no	no	no			no
tech_touhou_gensokyo_planet_buildings	spth_building_tech.txt	51		yes	tech_spth_sub_capitals					no	no	no			no
tech_building_suzunaan	spth_building_tech.txt	160		yes	tech_spth_sub_capitals				th_kosuzu_get	no	no	no			no
tech_spth_unified_theory	th_tech_2.txt	1499		yes	tech_spth_spirit_power_beginning					no	no	no			no
